id,updatedDate,publishedDate,title,summary,authors,downloadLink,filePath
http://arxiv.org/abs/1605.08521v2,2016-10-17T12:07:03Z,2016-05-27T07:15:07Z,ExactHomogeneousMasterEquationForOpenQuantumSystemsIncorporatingInitialCorrelations.pdf,"  We show that the exact master equation incorporating initial correlations foropen quantum systems, within the Nakajima-Zwanzig operator-projection method,is a homegenous master equation for the reduced density matrix. We also deriveexplicitly the exact master equation for a large class of bosonic and fermionicopen quantum systems incorporating initial correlations, the resulting masterequation is homogenous. We find that the effects of the initial correlationscan be fully embedded into the fluctuation dynamics through the exacthomogenous master equation. Also a generalized nonequilibriumfluctuation-dissipation theorem incorporating the initial correlations isobtained.","Pei-Yun Yang, Wei-Min Zhang, ",http://arxiv.org/pdf/1605.08521v2.pdf,./files/ExactHomogeneousMasterEquationForOpenQuantumSystemsIncorporatingInitialCorrelations.pdf
http://arxiv.org/abs/1609.00645v3,2017-07-03T08:52:05Z,2016-09-02T15:29:27Z,ExactNonMarkovianMasterEquationForTheSpinBosonAndJaynesCummingsModels.pdf,"  We provide the exact non-Markovian master equation for a two-level systeminteracting with a thermal bosonic bath, and we write the solution of such amaster equation in terms of the Bloch vector. We show that previousapproximated results are particular limits of our exact master equation. Wegeneralize these results to more complex systems involving an arbitrary numberof two-level systems coupled to different thermal baths, providing the exactmaster equations also for these systems. As an example of this general case wederive the master equation for the Jaynes-Cummings model.",L. Ferialdi,http://arxiv.org/pdf/1609.00645v3.pdf,./files/ExactNonMarkovianMasterEquationForTheSpinBosonAndJaynesCummingsModels.pdf
http://arxiv.org/abs/quant-ph/0306087v1,2003-06-12T20:00:48Z,2003-06-12T20:00:48Z,MeanFieldMasterEquationForSelfInteractingBathsComparisonWithExactSpinSpinBathDynamics.pdf,  A mean field approximation is employed to derive a master equation suitablefor self-interacting baths and strong system-bath coupling. Solutions of themaster equation are compared with exact solutions for a central spininteracting with a spin-bath.,Joshua Wilkie,http://arxiv.org/pdf/quant-ph/0306087v1.pdf,./files/MeanFieldMasterEquationForSelfInteractingBathsComparisonWithExactSpinSpinBathDynamics.pdf
http://arxiv.org/abs/quant-ph/0406052v1,2004-06-09T08:31:35Z,2004-06-09T08:31:35Z,GeneralizedMasterEquationWithNonhermitianOperators.pdf,"  By extending the mean-field Hamiltonian to include nonhermitian operators,the master equations for fermions and bosons can be derived. The derivedequations reduce to the Markoff master equation in the low-density limit and tothe quasiclassical master equation for homogeneuos systems.","C. F. Huang, K. -N. Huang, ",http://arxiv.org/pdf/quant-ph/0406052v1.pdf,./files/GeneralizedMasterEquationWithNonhermitianOperators.pdf
http://arxiv.org/abs/1406.7374v1,2014-06-28T09:05:11Z,2014-06-28T09:05:11Z,ExactNonMarkovianMasterEquationForADrivenDampedTwoLevelSystem.pdf,"  Driven two-level system is a useful model to describe many quantum objects,particularly in quantum information processing. However, the exact masterequation for such a system is barely explored. Making use of the Feynman-Vernoninfluence functional theory, we derive an exact non-Markovian master equationfor the driven two-level system and show the lost feature in the perturbativetreatment for this system. The perturbative treatment leads to thetime-convolutionless (TCL) and the Nakajima-Zwanzig (NZ) master equations. Soto this end, we derive the time-convolutionless (TCL) and the Nakajima-Zwanzig(NZ) master equations for the system and compare the dynamics given by thethree master equations. We find the validity condition for the TCL and NZmaster equations. Based on the exact non-Markovian master equation, we analyzethe regime of validity for the secular approximation in thetime-convolutionless master equation and discuss the leading corrections of thenonsecular terms to the quantum dynamics, significant effects are found in thedynamics of the driven system.","H. Z. Shen, M. Qin, Xiao-Ming Xiu, X. X. Yi, ",http://arxiv.org/pdf/1406.7374v1.pdf,./files/ExactNonMarkovianMasterEquationForADrivenDampedTwoLevelSystem.pdf
http://arxiv.org/abs/1909.10675v1,2019-09-24T01:42:38Z,2019-09-24T01:42:38Z,ACharacterizationOfThurston'sMasterTeapot.pdf,"  We prove an explicit characterization of the points in Thurston's MasterTeapot. This description can be implemented algorithmically to test whether apoint in $\mathbb{C} \times \mathbb{R}$ belongs to the complement of the MasterTeapot. As an application, we show that the intersection of the Master Teapotwith the unit cylinder is not symmetrical under reflection through the planethat is the product of the imaginary axis of $\mathbb{C}$ and $\mathbb{R}$.","Kathryn Lindsey, Chenxi Wu, ",http://arxiv.org/pdf/1909.10675v1.pdf,./files/ACharacterizationOfThurston'sMasterTeapot.pdf
http://arxiv.org/abs/hep-th/9411021v1,1994-11-03T04:46:18Z,1994-11-03T04:46:18Z,MasteringTheMasterField.pdf,"  The basic concepts of non-commutative probability theory are reviewed andapplied to the large $N$ limit of matrix models. We argue that this is theappropriate framework for constructing the master field in terms of which large$N$ theories can be written. We explicitly construct the master field in anumber of cases including QCD$_2$. There we both give an explicit constructionof the master gauge field and construct master loop operators as well. Mostimportant we extend these techniques to deal with the general matrix model, inwhich the matrices do not have independent distributions and are coupled. Wecan thus construct the master field for any matrix model, in a well definedHilbert space, generated by a collection of creation and annihilationoperators---one for each matrix variable---satisfying the Cuntz algebra. Wealso discuss the equations of motion obeyed by the master field.","Rajesh Gopakumar, David J. Gross, ",http://arxiv.org/pdf/hep-th/9411021v1.pdf,./files/MasteringTheMasterField.pdf
http://arxiv.org/abs/math/0210412v1,2002-10-27T01:16:17Z,2002-10-27T01:16:17Z,HeegaardSplittingsAndVirtuallyHakenDehnFilling.pdf,  We use Heegaard splittings to give some examples of virtually Haken3-manifolds.,"J. D. Masters, W. Menasco, X. Zhang, ",http://arxiv.org/pdf/math/0210412v1.pdf,./files/HeegaardSplittingsAndVirtuallyHakenDehnFilling.pdf
http://arxiv.org/abs/nlin/0110018v1,2001-10-09T15:30:28Z,2001-10-09T15:30:28Z,"MasterIntegrals,SuperintegrabilityAndQuadraticAlgebras.pdf",  In this paper we use a generalization of Oevel's theorem about mastersymmetries to relate them with superintegrability and quadratic algebras.,R. Caseiro,http://arxiv.org/pdf/nlin/0110018v1.pdf,"./files/MasterIntegrals,SuperintegrabilityAndQuadraticAlgebras.pdf"
http://arxiv.org/abs/quant-ph/0701218v1,2007-01-29T18:43:50Z,2007-01-29T18:43:50Z,OnThePreciseConnectionBetweenTheGrwMasterEquationAndMasterEquationsForTheDescriptionOfDecoherence.pdf,"  We point out that the celebrated GRW master-equation is invariant undertranslations, reflecting the homogeneity of space, thus providing a particularrealization of a general class of translation-covariant Markovianmaster-equations. Such master-equations are typically used for the descriptionof decoherence due to momentum transfers between system and environment.Building on this analogy we show the exact relationship between the GRWmaster-equation and decoherence master-equations, further providing acollisional decoherence model formally equivalent to the GRW master-equation.This allows for a direct comparison of order of magnitudes of relevantparameters. This formal analogy should not lead to confusion on the utterlydifferent spirit of the two research fields, in particular it has to bestressed that the decoherence approach does not lead to a solution of themeasurement problem. Building on this analogy however the feasibility of theextension of spontaneous localization models in order to avoid the infiniteenergy growth is discussed. Apart from a particular case considered in thepaper, it appears that the amplification mechanism is generally spoiled by suchmodifications.",B. Vacchini,http://arxiv.org/pdf/quant-ph/0701218v1.pdf,./files/OnThePreciseConnectionBetweenTheGrwMasterEquationAndMasterEquationsForTheDescriptionOfDecoherence.pdf
